Env_Chitala Env_Chitedze Env_Nakabango Env_Serere
160.0639 -46.14173 -121.3157 -68.88555
163.9982 -52.67343 -122.5531 -72.96882
157.1576 -47.85207 -122.0405 -77.65205
144.4167 -64.71714 -130.3253 -80.55807
144.9134 -59.94834 -136.8898 -80.8393
138.0954 -62.32289 -132.3242 -86.3268
140.9661 -74.49614 -145.1754 -90.39212
140.6041 -64.06683 -141.8998 -86.50762
144.4638 -57.5514 -135.638 -87.68014
151.0498 -61.13241 -128.5997 -77.87279
149.387 -68.01373 -127.5759 -72.65444
147.1659 -63.41884 -136.9158 -75.4563
153.3385 -44.52455 -127.3882 -81.19537
147.3796 -60.46192 -129.6097 -71.88396
137.0317 -67.92762 -136.5007 -72.55041
143.2215 -69.42652 -140.0644 -86.18006
151.738 -59.74356 -125.3838 -78.27559
155.1234 -52.00758 -135.9033 -69.15206
162.0398 -51.5514 -121.1246 -66.85071
158.7802 -46.96238 -119.8715 -64.84713
171.918 -39.99651 -107.7997 -56.37489
173.1554 -45.8181 -112.6541 -57.09306
161.4963 -47.45749 -119.2565 -73.30301
170.2103 -43.16465 -106.7368 -56.62951
171.7574 -45.41007 -108.1846 -57.60718
176.9109 -38.5611 -113.0653 -53.0163
166.9421 -40.86554 -109.8055 -67.83602
167.3049 -30.94127 -112.0779 -58.76061
165.8043 -41.67186 -111.6005 -57.3939
175.4101 -31.69479 -105.0797 -50.54121
174.1298 -39.18683 -107.8588 -55.70559
160.4917 -48.78183 -114.5085 -62.22262
168.2893 -42.92011 -114.2879 -63.83073
177.3791 -36.56022 -105.3971 -59.52295
171.7882 -31.33368 -104.6502 -51.60044
180.641 -23.47396 -103.3743 -51.77626
179.9113 -29.9559 -92.54325 -45.99586
176.7717 -28.80727 -98.36731 -48.07596
171.1938 -36.43815 -108.7093 -56.93241
167.9909 -38.92729 -107.6573 -52.74053
156.9276 -47.94255 -120.3669 -67.32233
164.7171 -39.08055 -114.1744 -61.44625
161.0602 -51.62843 -117.9406 -67.89825
151.1356 -56.10316 -128.5361 -73.12083
147.727 -54.77069 -131.0385 -77.66989
147.7823 -63.60554 -131.115 -76.34283
136.1551 -70.8815 -138.6479 -86.39995
155.5022 -60.97446 -133.6738 -78.54519
141.9967 -69.19889 -134.7218 -75.03314
147.9642 -62.35271 -133.566 -75.08351
154.5354 -47.30261 -122.9647 -68.36136
154.4586 -53.91491 -120.1276 -69.91605
146.8128 -63.26374 -137.0083 -81.87556
143.6253 -62.81502 -133.6853 -84.49259
142.1789 -68.46025 -139.8764 -78.83387
127.1404 -79.26624 -148.6026 -97.36791
131.5746 -80.45106 -146.075 -95.72002
130.3257 -78.52672 -144.3402 -92.49913
138.1528 -73.3579 -145.758 -92.30585
133.1092 -73.95297 -149.5269 -95.28783
132.0231 -80.60494 -152.66 -99.0453
128.3162 -81.623 -159.7658 -107.5807
127.1783 -79.92546 -156.4244 -107.8609
134.4097 -75.34136 -144.4359 -93.63675
140.9677 -73.36786 -148.279 -89.70973
131.4143 -79.11091 -146.9213 -91.9154
130.0994 -79.10567 -155.7225 -94.96848
132.8173 -78.62173 -147.1988 -94.22499
135.9175 -81.48814 -146.3658 -92.15594
142.51 -72.82586 -138.645 -89.87727
151.0446 -66.45154 -134.5315 -85.54403
137.9909 -67.31875 -139.2793 -83.32539
142.6619 -75.21868 -148.4369 -86.89833
120.2314 -83.56096 -150.1848 -94.2996
130.1973 -79.07957 -155.1527 -98.57285
127.8535 -84.74409 -159.0652 -97.7598
