Env_Chitala Env_Chitedze Env_Nakabango Env_Serere
183.3962 -29.55363 -102.6358 -54.31578
180.5499 -31.2691 -107.3862 -54.63677
177.1935 -34.60039 -100.5303 -48.05099
181.0885 -34.69389 -109.7288 -57.85189
169.9883 -37.47995 -119.0894 -67.82694
173.6268 -39.64753 -108.4204 -49.3847
174.3844 -43.48152 -114.2233 -59.56396
167.0125 -51.00428 -119.2434 -64.89414
161.0747 -44.02825 -120.9412 -66.04925
164.6109 -45.76815 -116.3666 -63.06544
174.3021 -43.20242 -114.8479 -59.0049
157.2249 -61.48723 -125.0725 -75.94547
154.8252 -55.36081 -122.7325 -72.39679
156.1598 -60.17243 -127.7707 -80.92689
154.9644 -55.45216 -125.3781 -70.02906
155.1274 -51.60519 -119.1858 -74.40486
150.2622 -57.0184 -135.5827 -75.16859
153.7977 -53.75326 -131.0783 -80.40098
152.1033 -53.29479 -127.5519 -74.48108
147.4989 -65.36036 -137.873 -84.60438
164.3249 -49.62633 -117.4621 -72.53299
166.6548 -50.50328 -124.6467 -67.50889
158.7769 -53.5217 -122.9074 -71.80743
170.0561 -37.74941 -107.2634 -61.38373
174.481 -33.03211 -101.0373 -53.25446
185.5398 -23.94703 -93.01402 -46.87994
192.6937 -20.16066 -94.06532 -41.14481
186.9275 -20.13496 -93.16432 -33.11069
189.0051 -18.17433 -88.80451 -41.34913
198.0058 -10.46041 -88.84549 -37.38395
210.0166 -3.582229 -74.75027 -25.06312
211.4867 0.09265166 -70.51726 -19.76884
213.1217 4.955177 -66.56206 -12.03149
204.399 1.96981 -68.00548 -26.1777
197.1774 -9.29353 -87.16773 -30.94462
194.8821 -17.22912 -87.4027 -33.28229
181.2659 -26.45242 -102.8258 -41.31244
180.5018 -26.98 -97.95104 -42.82655
184.019 -23.03821 -93.77713 -37.4762
180.3059 -31.25996 -98.24225 -43.78345
178.2898 -32.21972 -101.5191 -48.64182
172.342 -44.47707 -107.3149 -53.17759
166.9799 -37.12991 -112.3265 -56.86968
177.5217 -36.00698 -109.624 -59.24142
173.2011 -28.58789 -104.537 -54.17111
187.4955 -25.26039 -92.33189 -37.90338
185.621 -26.74293 -102.3158 -36.66987
192.49 -17.13858 -86.38244 -34.24139
204.6986 -11.88042 -79.31343 -23.57437
212.9424 0.9950988 -72.867 -21.72689
207.5147 -4.026415 -75.18766 -15.2
212.0574 4.299921 -68.00058 -4.52739
229.0865 17.0399 -58.75294 1.753442
220.3991 17.55841 -57.89209 -5.601532
226.1979 10.44494 -59.91293 -5.599667
232.2699 15.97641 -53.51811 0.1297045
232.6861 29.63922 -42.16477 4.889726
228.7722 16.14289 -55.09175 1.135397
210.1471 6.099722 -66.68816 -10.31092
211.7096 0.4261849 -78.6493 -23.06241
205.597 -12.36818 -87.43523 -27.73871
204.9924 -6.480781 -77.50107 -18.80302
185.9346 -26.44805 -96.92758 -43.80135
196.1301 -15.27045 -83.78103 -30.25415
186.4585 -28.85402 -91.49034 -47.07535
184.9867 -25.3503 -97.11775 -44.75651
193.9219 -22.30386 -89.82117 -39.29331
193.9527 -16.46148 -89.27614 -33.83248
194.9072 -17.12887 -84.93874 -39.07258
191.0924 -24.98227 -99.48899 -45.42859
177.7787 -37.94147 -105.341 -52.54468
171.2696 -41.42023 -111.4654 -59.77436
175.0169 -30.35242 -104.0687 -54.06147
176.905 -31.73957 -103.6368 -51.11908
178.969 -40.1229 -105.7408 -52.83476
175.0406 -36.85756 -111.8037 -54.57339
187.8027 -23.18999 -90.7971 -50.13517
195.1644 -12.94124 -81.21724 -31.53036
206.2239 -4.725744 -73.86521 -19.35369
218.2833 2.586868 -69.43088 -11.61274
217.4599 8.192181 -66.25097 -6.202051
213.1165 13.30001 -66.21295 -9.912556
219.9395 5.726685 -61.64839 -7.180681
216.7171 10.31914 -60.57142 -9.833886
211.7605 0.7290062 -72.83191 -21.00436
212.3964 -3.784493 -75.34691 -11.21715
213.6969 4.750089 -66.44889 -16.80165
205.961 -4.140814 -79.07575 -17.17429
215.3939 0.04317213 -72.52073 -22.38136
209.06 2.307511 -76.37776 -16.56334
204.4683 2.262137 -75.62404 -22.25797
196.9685 -11.68547 -82.79161 -37.69058
190.5904 -20.95018 -88.38821 -35.73545
187.2058 -24.27148 -93.11625 -36.64562
195.7639 -15.7612 -91.69594 -36.57098
188.0908 -19.63415 -95.58439 -35.22999
188.677 -20.11429 -90.88151 -39.37427
180.627 -21.08409 -93.15721 -41.42486
189.8367 -14.82899 -90.21818 -38.40166
185.1315 -24.30784 -96.24768 -37.57468
196.1899 -12.10065 -83.82492 -32.41204
208.8351 -10.77615 -84.02176 -28.13339
203.6869 -4.509339 -81.24115 -27.16604
203.9365 -6.437054 -80.27276 -29.19263
194.9455 -16.31606 -83.46016 -32.38809
190.064 -18.82485 -89.17475 -35.2108
203.6273 -14.70547 -86.05078 -28.65138
198.6471 -2.586954 -81.19195 -25.34499
198.5851 -7.341449 -83.46115 -30.37947
210.6109 -2.154898 -66.27699 -16.61125
214.7198 1.132144 -65.89924 -17.3607
206.7206 -13.14507 -75.64219 -24.98867
196.766 -13.47284 -88.23501 -25.38761
201.7926 -4.94176 -75.0662 -21.33159
202.8721 -13.26314 -76.5078 -22.38284
208.9557 -6.435794 -71.16389 -24.2779
209.9481 1.416173 -77.4291 -21.31811
211.2819 -5.81712 -78.99376 -26.39506
191.0798 -19.66241 -91.90061 -31.39321
182.4261 -24.57905 -103.0542 -43.62414
182.0908 -24.21948 -91.50096 -44.3766
186.3714 -23.39095 -98.78443 -45.25574
180.4307 -30.08457 -95.12656 -46.87467
175.9944 -32.27574 -105.5692 -51.24335
169.0963 -33.62481 -110.3345 -54.61664
167.2961 -42.27796 -114.9255 -65.73772
168.2267 -44.82886 -115.0947 -58.0294
163.2632 -42.89315 -120.0473 -59.46942
166.1922 -45.04846 -115.8519 -67.84764
165.2576 -48.45725 -119.0545 -69.07758
164.5451 -49.7895 -113.5626 -60.41116
156.799 -51.12901 -119.0113 -69.97022
171.9607 -40.48362 -104.9382 -63.36377
181.9219 -28.67453 -102.6689 -49.20864
173.3892 -39.95119 -109.4601 -60.37598
179.8954 -34.6551 -103.3366 -45.10506
181.1777 -22.05826 -95.67722 -37.24314
185.5027 -24.29499 -95.93579 -45.56381
172.7733 -30.65093 -102.9923 -50.16319
167.3739 -39.25464 -104.0522 -49.72472
172.2696 -34.62277 -109.8368 -55.87073
170.7074 -40.30552 -115.9217 -62.72406
163.6572 -48.17255 -118.1439 -62.69406
151.5997 -57.46466 -132.7409 -71.71377
155.9668 -51.45555 -119.01 -65.93876
152.1996 -59.24688 -126.9444 -77.62647
165.73 -43.71417 -109.3199 -62.94765
163.1003 -43.51118 -115.6769 -64.94232
163.9806 -43.4302 -114.8045 -66.83209
148.1968 -61.19312 -133.8565 -81.19284
166.4009 -44.27337 -113.9704 -63.31686
162.4729 -42.70944 -122.0191 -66.46547
161.2084 -50.57625 -117.1119 -63.89484
163.0781 -48.92609 -116.3041 -68.80289
168.7259 -47.69381 -118.73 -55.43025
162.1945 -45.30689 -116.6993 -69.79372
172.2826 -35.63961 -112.0464 -55.39575
166.5021 -39.55703 -110.621 -64.48445
175.8278 -30.34554 -108.4783 -49.57351
165.4738 -44.19279 -121.2745 -59.37141
165.8358 -48.60555 -122.9492 -64.57791
150.1543 -67.83572 -131.1338 -81.87377
157.8903 -58.74046 -131.4257 -77.06186
150.4685 -61.33833 -133.6405 -79.28321
162.5272 -54.51403 -115.2934 -71.12743
152.3337 -54.06288 -123.1769 -75.7516
161.6276 -48.50516 -127.1202 -67.17191
158.3221 -47.07755 -121.5004 -71.04481
171.0432 -43.25963 -111.6459 -63.01268
174.4918 -36.03012 -111.3679 -56.05544
168.6249 -38.8196 -114.4771 -58.28641
173.935 -40.48267 -105.8056 -53.37034
166.5704 -38.39269 -114.3494 -61.73311
163.1226 -54.23252 -114.9747 -63.57037
150.5173 -49.85573 -129.3221 -70.34256
158.4377 -53.29395 -123.3378 -73.73973
158.6081 -52.90019 -123.3236 -65.87624
161.0997 -51.29474 -124.1042 -68.56263
166.7871 -37.11274 -115.8587 -54.65894
149.2839 -52.28314 -131.0173 -73.59541
147.481 -55.1831 -131.0197 -81.06202
133.3753 -73.23577 -145.3254 -93.53454
137.0629 -70.63359 -145.2074 -92.17408
130.9716 -82.02924 -154.8124 -99.63935
127.2976 -68.58087 -148.4249 -97.37597
124.4802 -85.62487 -155.1596 -102.962
127.9041 -81.83133 -147.4094 -100.07
121.612 -91.74224 -161.1014 -107.105
124.8354 -82.72767 -150.3249 -102.6445
107.0886 -96.84673 -168.3494 -115.4835
117.7249 -92.07712 -167.4438 -117.5036
127.4224 -81.84188 -151.0958 -101.97
125.5721 -87.43577 -155.703 -102.2632
124.5734 -82.59654 -149.5587 -101.7533
125.5389 -81.37001 -153.5449 -102.8941
128.9514 -77.88604 -147.2119 -99.18062
135.8079 -72.58684 -144.4113 -94.73368
136.4816 -69.05162 -140.444 -92.43357
145.0292 -66.61784 -131.6538 -81.91837
150.2386 -59.64279 -125.6866 -76.42036
148.7724 -65.32818 -131.3083 -77.21561
155.5949 -54.88807 -122.1894 -76.09056
154.105 -68.92421 -134.2495 -80.14599
135.7492 -75.59087 -145.4536 -90.02539
136.3553 -75.05558 -151.6382 -94.59308
128.0072 -92.69296 -160.4242 -100.8323
115.5406 -88.45957 -164.7798 -106.438
118.0732 -88.61962 -166.4241 -111.7064
137.52 -71.83684 -140.8984 -87.19573
134.1575 -67.87763 -141.743 -86.52675
120.4646 -81.19545 -153.5181 -107.1119
123.8263 -89.83659 -160.829 -107.3199
111.7643 -99.66592 -169.7217 -119.8005
102.2204 -105.9861 -183.8637 -122.7165
95.77211 -115.0083 -186.1104 -132.5489
90.68516 -125.698 -192.1975 -135.8426
96.53086 -119.5564 -193.3729 -137.9299
89.64244 -127.2018 -195.9267 -142.316
82.76119 -128.0771 -191.7838 -144.6613
71.48291 -134.6105 -210.5766 -152.4469
90.63382 -119.2174 -192.4222 -141.2992
98.29724 -116.5806 -190.5815 -139.0261
97.85718 -114.3016 -186.5323 -127.6566
88.1785 -119.5341 -186.4335 -131.6844
92.58195 -115.7773 -189.779 -135.1017
113.1746 -103.4735 -178.359 -125.8454
110.6741 -95.62056 -162.8479 -110.1203
110.9813 -99.62242 -169.034 -117.862
120.361 -94.97598 -171.5106 -113.0273
126.1268 -95.15078 -165.6645 -104.7755
135.6698 -72.31924 -147.4626 -95.57338
126.7575 -74.53219 -154.0328 -95.25369
120.3104 -85.75415 -157.5016 -109.8779
117.4912 -88.24858 -158.2337 -111.9274
124.494 -87.57195 -156.4927 -96.97366
130.4829 -80.42014 -155.4468 -100.4474
129.0834 -80.5389 -155.3371 -95.50342
128.3537 -77.2493 -149.1218 -100.4475
142.2988 -65.10339 -134.9186 -83.96628
139.5004 -67.05325 -143.7234 -89.91911
139.4911 -75.4293 -143.9681 -95.9499
141.5995 -70.64799 -143.7294 -88.48123
125.8672 -83.73148 -153.9935 -100.7269
110.3348 -92.15351 -167.6267 -114.5745
112.533 -93.38284 -159.1056 -111.3301
139.3364 -72.85872 -142.934 -93.02165
133.0261 -78.11271 -153.8753 -99.93278
143.7509 -65.91688 -142.312 -87.11311
150.5712 -58.85704 -138.4258 -76.20064
140.6114 -72.33003 -136.8102 -84.5858
135.737 -74.17557 -144.8639 -95.95421
149.7018 -63.32044 -131.5845 -78.19281
158.6905 -53.07468 -129.6558 -72.73706
160.2768 -46.51323 -121.3544 -72.71226
165.6477 -47.77108 -117.0983 -71.46593
163.6088 -50.77054 -126.8464 -69.02752
155.8499 -54.69939 -125.9495 -65.7129
162.9977 -46.70107 -123.9045 -68.99936
158.4989 -51.97883 -129.6317 -76.81995
154.2391 -58.24094 -138.9959 -76.24565
151.9749 -58.72769 -131.7233 -78.16142
149.2643 -62.25924 -131.8432 -85.32157
156.0334 -60.69106 -125.1786 -77.42737
156.7815 -55.64297 -130.2546 -74.23032
163.7261 -43.84219 -114.8093 -60.63986
176.0005 -26.46166 -104.8704 -46.32554
188.0259 -30.92787 -101.0378 -49.82175
193.2223 -13.7898 -90.12569 -38.57173
191.4465 -15.26001 -92.89004 -33.58025
188.4538 -20.09478 -92.99284 -41.88261
190.2812 -25.19972 -97.07205 -48.93008
198.3099 -13.53077 -87.94236 -35.27973
203.2222 -13.05194 -82.20972 -34.30222
208.3005 -1.153065 -71.69809 -23.53666
218.6025 11.51988 -66.73879 -12.11234
225.8563 12.38574 -63.06367 -4.599285
211.0792 5.249849 -67.38024 -14.45147
212.4879 -4.205713 -69.09442 -20.36927
202.2451 -3.46615 -77.73782 -22.68658
206.9634 -5.635143 -75.46392 -18.78847
221.9236 12.75371 -59.07543 -14.2014
211.2729 2.37681 -68.45937 -12.98137
220.0384 10.68007 -63.24649 -4.124275
230.5849 18.88431 -57.67747 2.77776
231.3181 22.24047 -50.31766 2.205376
227.1331 18.23593 -63.17725 -1.113307
221.1444 14.73521 -62.52983 -4.373572
209.3182 -2.219119 -70.83411 -19.52946
215.804 -1.118804 -66.77676 -16.08401
205.1321 -2.037384 -75.49635 -21.12572
200.7477 -6.411785 -77.66227 -21.75767
200.9506 -11.67831 -83.86378 -28.08064
195.4529 -10.65343 -83.308 -31.8171
199.3639 -15.39235 -92.54782 -35.51773
197.3575 -16.22189 -84.57726 -31.39655
197.3311 -14.32039 -84.212 -30.88819
207.3207 -1.655506 -75.1949 -17.34824
215.6797 12.25107 -57.72092 -13.52309
218.8762 8.887116 -63.79789 -14.19567
210.1073 0.7205669 -69.10495 -12.06163
216.6914 -2.691533 -66.69546 -15.96647
215.1949 11.1897 -66.64214 -9.705536
220.8645 10.55135 -64.70347 -8.737437
221.6659 11.62467 -56.26548 -5.231058
222.6565 16.2835 -56.46877 -6.05491
230.9916 22.98703 -55.75841 4.77342
229.1667 17.0996 -61.08842 -4.268838
228.921 24.09597 -47.48056 -0.1075462
229.5245 22.5151 -51.25333 1.997675
236.4433 20.71493 -53.39026 1.938574
225.8452 14.18709 -55.05215 -8.499026
234.3535 22.83704 -42.25612 9.185656
237.2403 16.44927 -44.45667 9.886051
225.7011 11.77979 -54.93114 -3.87178
222.7267 14.30792 -55.71907 0.6500473
216.2916 -5.069678 -68.07409 -17.42329
223.0538 10.37254 -62.25663 -8.867571
228.1791 6.781076 -58.8189 -7.181706
226.6243 17.2574 -46.85479 4.471041
230.5197 19.62298 -46.81247 7.299037
245.3552 31.16282 -44.32356 8.749217
237.0386 25.11256 -48.68761 3.082694
225.9827 16.87876 -54.65823 1.702075
228.1605 17.73455 -50.87054 -1.023842
223.2283 11.15214 -62.64591 -6.245255
207.5205 2.598786 -74.92269 -22.46556
209.5942 -3.154781 -82.52698 -27.81217
197.5404 -20.85621 -87.77952 -33.75009
195.2094 -9.72389 -84.07134 -32.64848
199.0346 -4.312675 -76.34688 -27.351
198.7239 -9.218566 -77.99854 -26.44559
206.335 1.109449 -74.18131 -20.62144
198.2259 -14.68833 -82.59741 -28.69641
199.7922 -13.84498 -82.61235 -35.55294
206.9126 -2.919009 -68.88347 -21.05311
208.8336 1.913817 -76.20903 -20.93309
212.2322 4.868313 -62.17272 -18.25948
219.9812 3.208309 -63.64044 -15.19079
213.6009 -4.670752 -71.99986 -15.10082
205.6176 -7.548177 -82.93024 -33.02983
205.0422 -6.558257 -75.97405 -23.95458
210.6236 1.289307 -79.23501 -18.19765
208.9921 -2.143479 -75.6332 -21.68537
197.2456 -15.33391 -83.84198 -33.77404
197.0871 -16.03122 -86.72005 -33.40787
