Env_Chitala Env_Chitedze Env_Nakabango Env_Serere
179.448 -33.48361 -111.3394 -55.92113
166.0292 -43.38653 -116.2918 -63.06037
161.796 -44.32736 -122.1785 -62.05217
154.6365 -60.63126 -130.8068 -73.40211
161.2242 -60.32339 -132.8397 -78.42778
158.404 -56.92178 -122.5982 -75.508
163.3452 -53.79339 -130.4032 -75.00359
163.6557 -55.72439 -127.8571 -76.37045
158.2617 -56.21937 -132.2261 -76.27528
162.4046 -54.09979 -119.5369 -65.14477
166.5308 -53.31162 -119.3058 -67.81091
170.0395 -45.81956 -117.9691 -64.97336
177.0305 -37.51286 -107.6348 -53.86563
188.9601 -23.69888 -99.00524 -44.0868
202.2203 -19.34813 -91.58069 -36.65691
207.2309 -11.69556 -82.27521 -31.72591
218.7834 6.332661 -65.01936 -10.85153
221.67 5.988287 -65.16671 -20.27627
216.3848 2.504929 -68.97634 -13.02538
212.0464 -2.970114 -78.27275 -18.86973
214.8369 -8.408246 -79.00905 -18.60528
205.3426 -14.44838 -76.90467 -22.33186
197.3076 -7.994223 -86.70969 -27.07198
204.1976 -7.690658 -80.19497 -27.16055
187.0553 -17.69675 -88.24433 -38.99681
199.001 -15.23638 -91.92583 -38.83764
186.4938 -25.65418 -105.5012 -45.68882
182.8562 -29.27264 -103.8826 -43.21635
173.6022 -36.63793 -105.7035 -59.1942
176.0166 -39.98931 -110.4611 -58.82031
173.6533 -34.25192 -108.5912 -50.79789
170.9827 -45.09511 -117.1975 -65.27654
185.0748 -27.75277 -107.735 -50.80347
194.5734 -22.7773 -90.05683 -29.42477
195.0447 -24.01833 -94.27599 -40.61181
185.9261 -24.14747 -97.6196 -42.20365
182.0271 -32.22423 -96.78102 -51.9676
174.7484 -36.61772 -112.2584 -56.41098
185.9583 -29.7135 -98.84644 -50.47107
176.0613 -36.01366 -99.9588 -50.65544
173.4782 -37.48816 -106.4209 -59.20622
180.2737 -34.35629 -103.3722 -49.3456
180.0112 -34.72056 -109.9113 -59.61499
184.7271 -33.46476 -103.7467 -54.71919
170.8123 -44.18063 -114.9354 -63.50345
184.4353 -27.34575 -93.99866 -50.20597
193.5768 -17.95073 -82.36354 -31.48317
200.3134 -25.48375 -91.99137 -37.21047
217.8564 -2.438933 -74.49066 -15.37633
217.0143 12.17703 -61.70267 -7.405131
225.0559 12.20002 -61.12685 -6.787247
231.3019 7.453846 -55.52947 -16.80803
223.4358 16.54737 -65.82191 -1.831966
224.9802 8.00606 -65.69055 -3.278751
223.3227 10.78888 -62.6696 -8.915447
219.7289 9.330176 -67.51979 -8.76362
233.7784 25.68889 -60.13549 5.091251
240.6256 28.01313 -45.16941 2.088191
222.1241 11.69285 -66.0177 -4.517925
227.3948 11.19728 -63.76494 -1.731807
202.1459 -11.14429 -78.02457 -28.91183
210.0105 -4.281212 -81.32021 -16.91434
200.1082 -6.716104 -88.25117 -37.37773
215.1879 10.21744 -73.9297 -14.47601
217.1775 6.973973 -74.2059 -13.2018
224.3006 2.066447 -64.44871 -11.02519
221.4862 2.024131 -78.96339 -8.062781
218.1434 2.666359 -68.6038 -12.36107
219.1149 2.322053 -63.97371 -12.66888
210.5637 0.02252154 -66.28167 -11.71751
209.4466 -9.378893 -86.42888 -32.47566
191.6078 -17.50566 -94.69859 -37.48315
195.8495 -9.264164 -77.88935 -30.38693
191.9288 -12.14089 -90.82751 -33.09423
193.0533 -13.50425 -81.5867 -32.64067
199.1548 -18.73686 -92.76953 -33.55474
211.714 -9.519291 -72.488 -26.46089
211.0589 -8.829221 -77.43228 -26.89394
209.3474 -13.72763 -82.14385 -27.34171
204.6332 -17.05155 -88.65999 -34.76644
201.0793 -12.23855 -85.27015 -26.78954
199.7764 -18.02899 -86.64079 -32.68933
198.4169 -20.50536 -82.04594 -33.96765
196.7424 -17.34375 -89.55238 -36.90788
192.0571 -28.66746 -97.9372 -38.3183
198.6312 -25.17754 -89.35822 -38.42786
182.2164 -31.09624 -106.9319 -48.68507
178.6955 -33.59131 -104.8739 -43.15133
198.4129 -18.42728 -93.96132 -36.88745
208.6122 0.7418632 -78.83274 -30.77884
208.9992 0.3416727 -77.93938 -23.87558
202.0495 -9.821782 -83.06061 -23.84401
213.6338 -1.428895 -68.91044 -22.84534
221.0686 4.416445 -63.21974 -14.43859
216.6699 8.554693 -66.40019 -10.10274
222.865 2.657358 -66.66446 -15.38621
212.9496 2.507337 -77.67058 -10.37391
210.8431 -1.918808 -77.34737 -16.64218
206.3629 -4.051777 -78.08911 -23.67579
206.3819 -4.672446 -79.36235 -33.8816
212.6139 -3.91411 -75.03969 -22.60153
208.1738 -0.9210654 -77.97644 -21.95217
203.9177 -3.081378 -79.29007 -29.33195
202.1639 -15.96145 -96.94236 -37.55267
196.9392 -19.50098 -94.18823 -34.59947
194.8743 -15.8289 -99.88369 -39.63183
182.426 -27.55025 -99.39528 -41.32366
182.4583 -34.21296 -114.0888 -50.32605
189.0213 -30.04041 -103.3788 -42.1211
185.7921 -21.63868 -96.66716 -43.29024
181.5821 -30.79303 -101.3119 -45.62658
180.9523 -31.37271 -97.46041 -47.67331
192.513 -18.56942 -94.3339 -39.37524
207.1807 -9.811295 -87.54478 -26.6468
194.8489 -13.74228 -92.82634 -29.53093
195.6085 -15.87885 -89.01441 -32.46904
188.9632 -16.89194 -99.75739 -44.90073
186.4333 -29.48383 -103.0849 -50.83088
183.4956 -31.62529 -104.9474 -52.36823
183.3003 -34.89433 -101.5187 -55.1775
170.1928 -38.94274 -106.7854 -53.73435
179.1806 -39.5396 -111.5049 -57.13292
170.1478 -47.29094 -120.286 -70.32366
176.109 -43.22831 -107.9174 -60.90507
184.8657 -31.33926 -108.5099 -49.25402
