EID,Env,genotype,pod_yield_g,sh_pc,sw_g,X100_sw,uid
1,Chitala,CG7,336.7851357,69.56764154,232.2238143,55.08059365,1
1,Chitala,CHALIMBANA,185.7109741,60.78613445,110.2448872,49.7761916,2
1,Chitala,ICG.12991,330.7914268,72.1086225,233.3571398,30.781226,3
1,Chitala,ICG.13099,155.9252421,26.72509428,77.46621151,19.98643083,4
1,Chitala,ICG.14466,203.2819665,42.93269202,112.1365479,31.24037475,5
1,Chitala,ICG.405,188.6240365,53.87751652,110.0806761,29.90506494,6
1,Chitala,ICG.6057,321.7208776,62.0703408,204.7333586,39.98904796,7
1,Chitala,ICGIL.17101,223.6523854,60.39629784,136.955503,34.11434647,8
1,Chitala,ICGIL.17102,244.5343018,55.43789728,146.2328881,36.34953005,9
1,Chitala,ICGIL.17105,251.7960919,65.85659801,161.1623829,36.27047262,10
1,Chitala,ICGIL.17106,218.6578676,65.53330831,131.2373449,41.93068099,11
1,Chitala,ICGIL.17107,277.947958,57.68087343,163.8710625,36.54976945,12
1,Chitala,ICGIL.17111,334.3866754,42.33047648,159.8542936,44.36168257,13
1,Chitala,ICGIL.17112,254.8672161,57.52102861,153.0768174,30.58269497,14
1,Chitala,ICGIL.17114,279.4178914,65.92312714,178.7918007,40.19379656,15
1,Chitala,ICGIL.17116,221.2587737,46.40916785,129.4166753,38.92111096,16
1,Chitala,ICGIL.17119,287.496561,66.58138408,185.5835749,40.92254006,17
1,Chitala,ICGIL.17121,208.2711024,46.83776697,110.1290239,35.99304144,18
1,Chitala,ICGIL.17124,197.8397042,52.04557032,110.1432902,34.77874136,19
1,Chitala,ICGIL.17126,310.6466647,69.22538407,215.9337758,42.28870787,20
1,Chitala,ICGIL.17128,247.6081577,69.0077947,163.8978424,48.54560937,21
1,Chitala,ICGV.00331,421.1949619,67.51833421,292.5968967,43.05534833,22
1,Chitala,ICGV.01276,658.6005723,75.65185714,525.6394023,46.38317441,23
1,Chitala,ICGV.02194,229.4811829,43.14387923,127.2743872,35.0873021,24
1,Chitala,ICGV.02286,238.3292308,72.97849693,146.0485437,31.15341141,25
1,Chitala,ICGV.15074,244.7144641,66.29048545,156.6143935,33.25748264,26
1,Chitala,ICGV.16013,295.2852833,71.06447607,203.9536905,35.95456805,27
1,Chitala,ICGV.16019,460.1077564,72.96720988,340.8803352,37.75640602,28
1,Chitala,ICGV.16669,310.8732643,62.71134115,196.4318877,44.21701095,29
1,Chitala,ICGV.1706,273.6584717,62.82639757,173.397592,51.20556778,30
1,Chitala,ICGV.171015,382.8819335,67.24457477,259.6289919,44.3885875,31
1,Chitala,ICGV.171025,390.1235441,67.64782739,262.3816733,51.22297256,32
1,Chitala,ICGV.SM.01514,340.6786278,70.91211707,234.361754,40.28090521,33
1,Chitala,ICGV.SM.01709,509.6986816,66.1783525,335.3349274,40.28000035,34
1,Chitala,ICGV.SM.01731,378.8852862,67.07790617,252.4237314,49.14534731,35
1,Chitala,ICGV.SM.02724,219.2215846,63.05267916,134.8237945,52.96660411,36
1,Chitala,ICGV.SM.03517,295.4225298,55.25328021,172.2892271,39.55667879,37
1,Chitala,ICGV.SM.03519,327.8440252,68.23856729,219.6389669,31.92490814,38
1,Chitala,ICGV.SM.03708,261.9292927,70.06659474,169.2735021,44.18382728,39
1,Chitala,ICGV.SM.03710,381.9357602,70.57415048,271.510722,48.03654025,40
1,Chitala,ICGV.SM.05521,229.0277352,61.11308697,146.3610395,41.35964409,41
1,Chitala,ICGV.SM.05562,371.4444122,66.8735375,247.2677893,44.16016534,42
1,Chitala,ICGV.SM.05693,162.0923038,65.48290403,98.11116655,34.36389459,43
1,Chitala,ICGV.SM.05702,364.0167056,70.93434837,259.1395022,47.63971185,44
1,Chitala,ICGV.SM.05723,411.0461926,65.63077594,273.2185523,52.01894381,45
1,Chitala,ICGV.SM.05738,473.4184883,58.25894466,289.0185658,50.61899464,46
1,Chitala,ICGV.SM.06687,230.7836181,43.33152221,120.9114742,35.37444446,47
1,Chitala,ICGV.SM.06729,378.2483285,66.90844188,258.37232,59.34298958,48
1,Chitala,ICGV.SM.07501,335.7421756,67.35977928,226.4239955,40.4578714,49
1,Chitala,ICGV.SM.07510,283.6965782,65.66405696,187.4622857,38.26807949,50
1,Chitala,ICGV.SM.07517,194.9897942,62.51442592,120.36528,34.9902816,51
1,Chitala,ICGV.SM.07520,420.8613871,60.59821357,270.5290402,32.76197917,52
1,Chitala,ICGV.SM.07539,402.1289192,66.920705,277.1886233,45.26805668,53
1,Chitala,ICGV.SM.07540,326.3728897,60.62571869,203.0652387,32.1524596,54
1,Chitala,ICGV.SM.07541,278.2123913,68.54059973,192.5758638,35.52340911,55
1,Chitala,ICGV.SM.07553,352.0440693,59.57067181,215.639739,26.35757731,56
1,Chitala,ICGV.SM.07593,193.2133382,56.71990033,115.1593636,32.48443791,57
1,Chitala,ICGV.SM.08503,392.9154111,71.51632801,285.8966839,53.16978257,58
1,Chitala,ICGV.SM.08533,319.7701113,69.27220742,222.1962282,34.20668323,59
1,Chitala,ICGV.SM.08540,231.8903376,74.31412409,159.2884764,32.17729567,60
1,Chitala,ICGV.SM.08577,336.3944017,67.23010442,227.0106521,40.69808805,61
1,Chitala,ICGV.SM.09511,384.7613525,61.94254969,252.6671265,43.53598231,62
1,Chitala,ICGV.SM.10005,335.6307281,66.2889092,229.3919477,46.62379654,63
1,Chitala,ICGV.SM.10008,473.7756467,66.08146575,319.6852231,54.17907238,64
1,Chitala,ICGV.SM.10014,377.2348662,68.38598491,271.215782,48.80714153,65
1,Chitala,ICGV.SM.10021,299.3008146,62.32234097,196.6375521,54.22204977,66
1,Chitala,ICGV.SM.10028,373.6283919,60.03897845,232.5991962,37.91877352,67
1,Chitala,ICGV.SM.10031,210.8134307,60.57270558,122.6358149,40.67109419,68
1,Chitala,ICGV.SM.10043,244.1343445,67.30986559,160.5641573,32.67676608,69
1,Chitala,ICGV.SM.10044,167.91252,58.91612442,98.04884821,35.39583037,70
1,Chitala,ICGV.SM.15514,348.0762777,59.78871195,222.7783178,33.59255146,71
1,Chitala,ICGV.SM.15523,374.3766919,66.60304287,248.8419079,45.48830182,72
1,Chitala,ICGV.SM.15537,410.7707475,59.30982022,243.4887432,31.67256077,73
1,Chitala,ICGV.SM.15538,360.8784708,60.96629715,227.9517632,38.65929317,74
1,Chitala,ICGV.SM.15542,436.4805105,70.61555111,310.3120059,31.31348743,75
1,Chitala,ICGV.SM.15554,408.2214029,67.53668299,274.4987206,37.74581838,76
